                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     81,                0.67336,                0.43681,                0.83168,                 0.9662,                0.98078,                0.99162,                0.83895,                0.59335,                0.30541,                0.81057,               0.007393,               0.007393,               0.007393
                     82,                0.66949,                0.43869,                0.83319,                0.96808,                0.97741,                0.99144,                0.84044,                0.59041,                0.30428,                0.80946,                0.00736,                0.00736,                0.00736
                     83,                0.67472,                0.43547,                0.83258,                0.96363,                0.98482,                0.99138,                0.84125,                0.58985,                0.30444,                0.80953,               0.007327,               0.007327,               0.007327
                     84,                0.66761,                0.43237,                0.83019,                0.97258,                0.97783,                0.99157,                0.83896,                0.59417,                0.30455,                0.81006,               0.007294,               0.007294,               0.007294
                     85,                0.67429,                 0.4374,                0.83267,                0.97067,                0.97746,                0.99175,                0.84316,                0.58977,                0.30266,                0.80992,               0.007261,               0.007261,               0.007261
                     86,                0.66982,                0.43091,                0.83364,                0.97434,                0.98118,                0.99252,                0.84687,                0.58409,                0.29975,                0.80878,               0.007228,               0.007228,               0.007228
                     87,                0.67138,                0.43575,                0.83639,                0.97253,                0.97635,                0.99264,                0.84834,                 0.5805,                  0.299,                0.80835,               0.007195,               0.007195,               0.007195
                     88,                0.66318,                0.42667,                0.83176,                0.97326,                0.98354,                0.99235,                0.84456,                0.58179,                0.29683,                0.80832,               0.007162,               0.007162,               0.007162
                     89,                0.66573,                0.42394,                0.83127,                0.97467,                0.98024,                0.99283,                0.84545,                0.57836,                0.29566,                0.80779,               0.007129,               0.007129,               0.007129
                     90,                0.65659,                0.42604,                0.82908,                0.96708,                0.98177,                0.99307,                0.84754,                 0.5792,                0.29497,                0.80777,               0.007096,               0.007096,               0.007096
                     91,                0.65858,                 0.4279,                0.82607,                0.97328,                0.98033,                0.99306,                0.84762,                0.57914,                0.29505,                0.80738,               0.007063,               0.007063,               0.007063
                     92,                0.65686,                0.42125,                0.82683,                0.97515,                0.98084,                0.99296,                0.84536,                0.58048,                0.29536,                0.80771,                0.00703,                0.00703,                0.00703
                     93,                0.66356,                0.42796,                0.82943,                0.97555,                0.98131,                0.99272,                0.84751,                0.57942,                0.29422,                0.80731,               0.006997,               0.006997,               0.006997
